Table:CsvEquipDecompose,,,,,,,,,,,,
tid,decompose_id1,num1,prob1,decompose_id2,num2,prob2,decompose_id3,num3,prob3,decompose_id4,num4,prob4
#,分解物品1,数量1,概率1,分解物品2,数量2,概率2,分解物品3,数量3,概率3,分解物品4,数量4,概率4
100110,41011,1,10000,,,,,,,,,
100120,41011,1,10000,,,,,,,,,
100130,41011,1,10000,,,,,,,,,
100140,41011,1,10000,,,,,,,,,
100150,41011,1,10000,,,,,,,,,
100160,41011,1,10000,,,,,,,,,
100210,41011,1,10000,,,,,,,,,
100220,41011,1,10000,,,,,,,,,
100230,41011,1,10000,,,,,,,,,
100240,41011,1,10000,,,,,,,,,
100250,41011,1,10000,,,,,,,,,
100260,41011,1,10000,,,,,,,,,
100310,41011,2,10000,,,,,,,,,
100320,41011,2,10000,,,,,,,,,
100330,41011,2,10000,,,,,,,,,
100340,41011,2,10000,,,,,,,,,
100350,41011,2,10000,,,,,,,,,
100360,41011,2,10000,,,,,,,,,
100410,41011,2,10000,,,,,,,,,
100420,41011,2,10000,,,,,,,,,
100430,41011,2,10000,,,,,,,,,
100440,41011,2,10000,,,,,,,,,
100450,41011,2,10000,,,,,,,,,
100460,41011,2,10000,,,,,,,,,
100510,41011,1,10000,,,,,,,,,
100520,41011,1,10000,,,,,,,,,
100530,41011,1,10000,,,,,,,,,
100540,41011,1,10000,,,,,,,,,
100550,41011,1,10000,,,,,,,,,
100560,41011,1,10000,,,,,,,,,
100610,41011,3,10000,41012,1,10000,,,,,,
100620,41011,3,10000,41012,1,10000,,,,,,
100630,41011,3,10000,41012,1,10000,,,,,,
100640,41011,3,10000,41012,1,10000,,,,,,
100650,41011,3,10000,41012,1,10000,,,,,,
100660,41011,3,10000,41012,1,10000,,,,,,
100710,41011,3,10000,41012,1,10000,,,,,,
100720,41011,3,10000,41012,1,10000,,,,,,
100730,41011,3,10000,41012,1,10000,,,,,,
100740,41011,3,10000,41012,1,10000,,,,,,
100750,41011,3,10000,41012,1,10000,,,,,,
100760,41011,3,10000,41012,1,10000,,,,,,
100810,41011,4,10000,41012,1,10000,41013,1,5000,,,
100820,41011,4,10000,41012,1,10000,41013,1,5000,,,
100830,41011,4,10000,41012,1,10000,41013,1,5000,,,
100840,41011,4,10000,41012,1,10000,41013,1,5000,,,
100850,41011,4,10000,41012,1,10000,41013,1,5000,,,
100860,41011,4,10000,41012,1,10000,41013,1,5000,,,
100870,41011,4,10000,41012,1,10000,41013,1,5000,,,
100880,41011,4,10000,41012,1,10000,41013,1,5000,,,
100890,41011,6,10000,41012,2,10000,41013,1,10000,41021,1,10000
100900,41011,6,10000,41012,2,10000,41013,1,10000,41021,1,10000
100910,41011,6,10000,41012,2,10000,41013,1,10000,41022,1,10000
100920,41011,6,10000,41012,2,10000,41013,1,10000,41022,1,10000
100930,41011,6,10000,41012,2,10000,41013,1,10000,41022,1,10000
100940,41011,6,10000,41012,2,10000,41013,1,10000,41022,1,10000
100950,41011,5,10000,41012,1,10000,41013,1,10000,41021,1,500
100960,41011,5,10000,41012,1,10000,41013,1,10000,41022,1,500
100970,41011,5,10000,41012,1,10000,41013,1,10000,41022,1,500
100980,41011,5,10000,41012,1,10000,41013,1,10000,41021,1,500
100990,41011,5,10000,41012,1,10000,41013,1,10000,41022,1,500
101000,41011,5,10000,41012,1,10000,41013,1,10000,41021,1,500
101010,41011,5,10000,41012,1,10000,41013,1,10000,41022,1,500
101180,41011,10,10000,41012,2,10000,41013,1,10000,41021,1,10000
101190,41011,10,10000,41012,2,10000,41013,1,10000,41021,1,10000
101200,41011,10,10000,41012,2,10000,41013,1,10000,41022,1,10000
101210,41011,10,10000,41012,2,10000,41013,1,10000,41022,1,10000
101220,41011,10,10000,41012,2,10000,41013,1,10000,41022,1,10000
101230,41011,10,10000,41012,2,10000,41013,1,10000,41022,1,10000
101240,41011,10,10000,41012,2,10000,41013,1,10000,41021,1,10000
101410,41011,12,10000,41012,2,10000,41013,1,10000,41021,1,10000
101420,41011,12,10000,41012,2,10000,41013,1,10000,41022,1,10000
101430,41011,12,10000,41012,2,10000,41013,1,10000,41022,1,10000
101440,41011,12,10000,41012,2,10000,41013,1,10000,41021,1,10000
101450,41011,12,10000,41012,2,10000,41013,1,10000,41022,1,10000
101460,41011,12,10000,41012,2,10000,41013,1,10000,41022,1,10000
101470,41011,14,10000,41012,3,10000,41013,1,10000,41021,1,10000
101480,41011,14,10000,41012,3,10000,41013,1,10000,41022,1,10000
101490,41011,14,10000,41012,3,10000,41013,1,10000,41022,1,10000
101500,41011,14,10000,41012,3,10000,41013,1,10000,41021,1,10000
101510,41011,14,10000,41012,3,10000,41013,1,10000,41022,1,10000
101520,41011,14,10000,41012,3,10000,41013,1,10000,41022,1,10000
